80 200
46 78 44
24 32 20
20 6 9
53 22 5
6 63 25
3 48 42
62 46 35
38 69 4
30 28 42
26 49 49
63 46 16
28 27 36
25 56 4
77 36 45
67 52 32
53 33 7
45 78 9
5 74 21
76 52 5
2 35 13
53 76 45
46 57 34
44 53 41
24 48 5
46 2 40
70 77 26
13 51 42
80 79 33
76 5 23
64 2 41
27 77 37
73 23 39
4 64 32
6 45 12
59 36 17
40 49 42
56 48 26
6 57 11
70 38 49
6 10 42
61 28 27
25 2 34
19 55 43
22 10 27
12 3 20
61 48 35
50 55 32
28 77 29
17 73 14
5 51 17
80 53 6
68 43 20
35 9 13
11 29 14
30 20 36
63 32 32
59 16 14
39 68 18
47 45 29
67 62 28
25 78 26
11 35 11
76 25 23
74 39 29
30 42 19
41 23 41
66 25 13
16 5 15
66 77 32
74 35 43
16 31 4
7 67 50
78 68 47
7 30 47
12 37 15
52 3 40
33 16 9
53 61 5
19 49 31
40 45 41
66 58 14
12 64 19
69 43 34
62 57 16
56 43 43
67 37 11
47 20 38
10 31 7
4 63 8
51 17 15
67 14 15
63 67 1
55 56 5
62 39 50
75 35 34
8 54 4
66 52 35
31 11 40
79 50 22
72 35 30
68 76 5
31 46 8
53 11 6
56 24 26
38 29 50
17 70 16
4 52 18
16 25 48
26 78 36
58 79 42
51 66 19
77 48 14
29 66 37
11 61 15
24 23 11
64 53 9
75 80 16
61 24 40
53 10 42
39 3 39
70 45 24
18 46 27
9 26 35
79 68 11
65 35 10
20 51 6
54 25 1
43 49 49
58 43 28
13 72 42
8 60 22
76 26 11
74 72 40
1 48 35
48 80 27
64 50 13
49 64 7
32 71 30
38 2 19
5 30 1
4 23 24
16 14 26
10 20 6
41 11 46
27 75 18
10 41 41
29 28 36
15 5 24
34 43 20
12 48 30
54 18 31
78 15 25
42 10 50
22 1 6
80 5 17
19 31 16
55 62 19
16 26 27
25 21 43
77 17 31
50 37 15
48 18 21
51 23 10
14 2 2
55 44 21
37 4 37
46 63 19
73 38 48
32 51 35
32 24 13
4 43 6
28 67 44
66 43 43
29 27 15
36 80 47
29 40 19
28 57 3
49 18 49
33 51 17
78 16 25
9 25 20
74 1 31
28 11 27
20 44 42
72 13 23
53 20 6
80 3 49
8 79 15
10 43 27
39 9 1
72 10 2
24 52 28
54 27 41
71 34 48
24 20 11
27 7 29
72 32 38
53 27 43
77 3 28
36 43 27

