100000 100000
38784 94131 41
7852 78785 34
42961 98112 72
5233 64480 11
46824 99417 65
1137 86152 56
36897 99352 47
29609 96544 62
4637 98369 36
9793 73920 22
6544 94657 99
7733 69172 13
29040 89345 45
23015 94089 76
13504 88970 81
6790 71716 49
2549 77557 27
4105 82434 80
28297 84883 36
265 71519 90
3123 64836 14
28073 80787 11
20636 74717 77
11680 78337 61
28608 91576 86
34304 97034 81
704 52633 84
13387 91850 22
1153 96208 38
25664 95249 18
25804 95220 35
32529 94012 5
11704 98477 70
23488 89304 45
6286 79781 41
7387 63648 14
39798 93217 43
10083 69738 35
13981 94768 75
39655 99120 82
17135 69072 80
17344 95279 18
19249 97820 24
40649 93254 18
12928 65781 12
1869 86596 33
10201 65352 95
29389 79613 56
41308 95445 21
17820 98442 88
20078 79950 24
14579 81107 99
4088 89880 9
8079 67081 99
16494 76357 8
11153 97860 28
1065 95384 14
7912 88476 11
3008 92704 40
19488 95525 73
21745 72949 96
12601 99543 68
6033 78486 58
13875 97476 50
11873 87001 54
41827 97653 5
38074 98509 24
16251 74937 37
17817 74304 83
31534 97208 42
3673 97569 50
14449 69225 17
38181 91084 54
13833 79489 20
26520 79712 43
27375 98932 49
2159 75720 43
17441 82943 6
28937 91872 85
16875 92416 37
17281 71424 7
13505 95557 13
33740 84633 62
3512 70777 54
29748 87695 61
15923 72807 40
12224 91761 93
10336 67369 68
603 75769 13
35272 89360 34
21423 98778 98
1376 73054 71
26122 92758 85
11249 83077 81
4548 87607 67
26149 86553 21
40177 92782 4
43633 97889 45
18848 79950 20
8704 77371 55
13525 97287 91
9821 77728 84
233 56129 92
16113 78321 9
17648 90752 98
3431 71687 44
12273 78155 5
15665 98800 3
2465 60647 41
2392 67461 28
44705 97512 53
6121 93115 86
6881 77521 80
44440 98126 92
31961 90769 97
1180 77334 90
3146 99215 3
11455 87376 64
45244 95264 14
14105 69849 81
15685 76052 93
1301 80144 93
44279 97767 72
40178 96289 2
28184 98824 10
3367 80080 60
5089 90667 89
14373 73448 65
3325 95536 62
9600 71889 18
37061 96752 94
8062 62408 32
16325 69753 15
10657 78756 35
11194 93116 62
9644 64116 42
3221 91324 55
12896 81610 84
19845 75445 33
13633 80708 18
7062 68202 85
16038 73397 97
7496 88660 29
10585 88654 38
9760 80304 24
1434 66342 55
3401 76620 48
11534 77116 6
17917 86901 11
11665 68160 87
24847 82894 84
6993 67411 46
22693 75673 24
8337 74913 13
20924 91617 67
7592 72416 85
2066 55050 0
7515 86715 54
22089 90921 65
6847 65121 29
18996 79547 16
19461 89886 66
16578 97238 59
3429 88417 88
21289 97536 22
2782 93600 10
14739 76032 44
28043 91499 54
4886 86977 2
33057 94144 88
29342 84400 16
15157 78313 24
37937 92653 49
18240 68648 19
23105 91091 36
3921 66757 35
5745 67240 93
3008 72671 68
3233 89888 69
36011 90317 31
20221 89868 79
31985 97864 69
10713 70619 50
14194 86194 13
3205 92224 90
32520 88896 42
8681 95437 14
22542 78625 24
4296 71323 74
7121 77348 90
22229 83125 13
11426 76527 77
17035 74442 59
31177 95482 6
31997 87564 83
14225 77177 47
1211 51324 76
25835 81185 1
17056 90807 59
18104 93697 38
1731 95505 73
36688 97221 47
1217 64994 85
33120 94273 56
11464 66505 83
22286 86487 50
10160 70275 26
5042 75508 29
6600 92652 48
10961 89695 8
11710 83488 80
20033 88040 52
14293 93216 78
8160 65504 59
3540 54432 83
38822 95761 46
1952 78865 77
42960 97459 26
4064 78272 30
18001 85773 31
5705 93294 57
120 52145 99
9873 89153 63
20009 75456 85
17974 97658 9
10944 86624 50
5116 94547 76
16334 84265 74
39677 92401 61
5952 64753 15
3937 68966 90
12959 86103 43
24272 90561 62
20705 96737 67
18369 72951 82
16948 77697 20
9961 82116 40
4592 86539 60
17468 85318 97
